2021-06-15 20:00:01 | /errorHandler.js(30) | EU3RZAj67fcwMCryZtdkwC7C6pCCYu8F | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:13 | /errorHandler.js(30) | a5kz8j81ExUnhdzK57aJlzhw2BEvBUOm | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:13 | /errorHandler.js(30) | a5kz8j81ExUnhdzK57aJlzhw2BEvBUOm | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:14 | /errorHandler.js(30) | sqHZnDNIJuXxAJtfFqBkwWASSlL6h4J0 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:14 | /errorHandler.js(30) | FTllcPlUa6x014Gxe1e9GF6KWXiA72PK | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:14 | /errorHandler.js(30) | FTllcPlUa6x014Gxe1e9GF6KWXiA72PK | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:15 | /errorHandler.js(30) | 2FauhwZF7ljltu3EKDjWiWAqfbvxaYuy | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:16 | /errorHandler.js(30) | lvWJrk93voLk8jWa1fby2oOflWsvzsRp | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.210:2001/health | GET | Request : {}
2021-06-15 20:00:16 | /errorHandler.js(30) | kkO5s8BYNMasXIYKAk5TgFRayAvUPhHb | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getCancelledBookings?page=1&size=10&appointmentDateStart=2021-06-21&appointmentDateEnd=2021-06-21&search=khanna | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-21","appointmentDateEnd":"2021-06-21","search":"khanna","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-15 20:00:16 | /errorHandler.js(30) | wsBJx154dhEJDpQIeU1m8j2pAd1IHPH0 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&appointmentDateStart=2021-07-01&appointmentDateEnd=2021-07-01&clinicId=609be7f8f132c1001fb007c4 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-07-01","appointmentDateEnd":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:17 | /errorHandler.js(30) | wsBJx154dhEJDpQIeU1m8j2pAd1IHPH0 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-29","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:18 | /errorHandler.js(30) | gZqHKWJRd1tSqf35Fk5NebndDtGbonCf | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:18 | /errorHandler.js(30) | xE9Am5w7Qs8nqusw0jkeVYkSekclZOzR | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:18 | /errorHandler.js(30) | bx0zDcqVszT8NA9yfZu5EiZ0gy2snGI1 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:19 | /errorHandler.js(30) | bx0zDcqVszT8NA9yfZu5EiZ0gy2snGI1 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:20 | /errorHandler.js(30) | AarFMqulHRqKlJ1Gyo4TfdOa1ymwXb4m | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:21 | /errorHandler.js(30) | RBN82SYeYbR7Al18jVyEciNaeOkN7gUm | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:21 | /errorHandler.js(30) | vaq1jF2fOnZVbVnFV56mAcU307SOFhES | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:22 | /errorHandler.js(30) | QrQBtbO7cHxXoERmk7S8DSgWqe8fEzwC | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-08","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:23 | /errorHandler.js(30) | Fe9d5eZGl4JsA5mucQqrNvxnWAyvXCZP | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-10","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:23 | /errorHandler.js(30) | Fe9d5eZGl4JsA5mucQqrNvxnWAyvXCZP | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:24 | /errorHandler.js(30) | QkmONkli0OsOIT846DXa0w9dTKUsorXH | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:24 | /errorHandler.js(30) | QkmONkli0OsOIT846DXa0w9dTKUsorXH | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:24 | /errorHandler.js(30) | MUvr6dxajMfuifeyh0ACWoGbzYiZO1Ma | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.210:2001/health | GET | Request : {}
2021-06-15 20:00:25 | /errorHandler.js(30) | qGVf0XYW5w1mx4hujj7ynjcLXMgm0XJC | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:26 | /errorHandler.js(30) | bIuElvRteaaKLWXogA6aBMFX1j9GgIaA | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:26 | /errorHandler.js(30) | qCyEdo4Fe1bU7y2t9p27C20F3sn60ODd | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:27 | /errorHandler.js(30) | 9RrHJWMpx75gmIZssZGLgx6KuBc0mNhw | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:27 | /errorHandler.js(30) | d0HWqd1JfAzYnEY6NXC0XoPklPQsBrXK | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:28 | /errorHandler.js(30) | Vvy2hmCsC71RpxvE6C7469D93DEWpC3k | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:29 | /errorHandler.js(30) | 93wwlNbUElBy2c2JkPsP1uFO4qAOeDe5 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:30 | /errorHandler.js(30) | rCs1dSpuH0Q76wyKocg2xM9zRzyKZZgs | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:30 | /errorHandler.js(30) | rCs1dSpuH0Q76wyKocg2xM9zRzyKZZgs | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:32 | /errorHandler.js(30) | 6Ki8jNGfhaoRzMJggAo24QxzkUwjRmpQ | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-29","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:33 | /errorHandler.js(30) | q6CYYB22a6O0b1BwPIZddYB9fdoEN5Qx | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-09","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:33 | /errorHandler.js(30) | xwCKkN5cMK1KKNEZDe9FssBccIYJ8FzF | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:34 | /errorHandler.js(30) | MDJXqOvkky0ng93kpVLsxYuyUm0nZ3fp | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:34 | /errorHandler.js(30) | 7rHIeblJ9OYaHsZDgg78peWJ9NMEC2qy | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:35 | /errorHandler.js(30) | 7rHIeblJ9OYaHsZDgg78peWJ9NMEC2qy | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:35 | /errorHandler.js(30) | rS1PCaUrQMGtTINS0KBFmxGezKvQzQNx | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:36 | /errorHandler.js(30) | ldYbTiyt8nQT192PNxfjphJXmMvAEP8M | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:36 | /errorHandler.js(30) | 3gzoXOlCcz6jFqlvO1g1YF9doYNc9lqp | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.210:2001/health | GET | Request : {}
2021-06-15 20:00:36 | /errorHandler.js(30) | MFh34HhTkBCK3d1puYxJQkF0qoZOBjBN | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-30","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:38 | /errorHandler.js(30) | vtLJ9HCc08P08MEYcbmymL2w3Idky9fd | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:39 | /errorHandler.js(30) | 4VcWd919S63GVJXTHU0DmbHRWT9HUouK | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:39 | /errorHandler.js(30) | t680na6PrFD1q8K85YQ8iWoVvuWTwkBF | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:40 | /errorHandler.js(30) | eUH1yHwhbuJjOGmjjgetHY3xjFm9Y7x2 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:40 | /errorHandler.js(30) | ateHHhPRSRMqA7PH1T8Y18eOQ2YdigXu | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:40 | /errorHandler.js(30) | NFNYZ9Fj21Ug5iSZaLfEkKF75NXEybZw | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:41 | /errorHandler.js(30) | nj8c1gm2lkiBvb0O688VVbFPqdFpIg0N | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:42 | /errorHandler.js(30) | XJ3anXoDsVzSAMBwqJgMlJj3fiYZ7CNz | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-08","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:43 | /errorHandler.js(30) | VAi9WN2IxpUZLB0ZMn1nTAgg6KGgOOar | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:43 | /errorHandler.js(30) | cIX9o1WVpDpn1IcCuiNamYdBDoyfpr6f | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:44 | /errorHandler.js(30) | mPzIr0LSU9B5fRjqMfdGZtSj2puynr9r | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:44 | /errorHandler.js(30) | Mrm36l12zPmIlW454AugJ08MpEbQ9c7Q | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-02","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:44 | /errorHandler.js(30) | orZM7G29oxhqZ3dT9bz9TAS9P3Lb8Gus | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | URL : http://10.0.3.210:2001/health | GET | Request : {}
2021-06-15 20:00:46 | /errorHandler.js(30) | hCYJBxS1MUuHQAhO5RIOznFE6402FuYk | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:46 | /errorHandler.js(30) | flic6EQm44AVH1eOnQAsoiT0wB625dvs | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:46 | /errorHandler.js(30) | jwb8VcCUZDYTcYaMFEuoLTdvI2kUajFP | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&appointmentDateStart=2021-06-21&appointmentDateEnd=2021-06-21 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-21","appointmentDateEnd":"2021-06-21","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-15 20:00:46 | /errorHandler.js(30) | jwb8VcCUZDYTcYaMFEuoLTdvI2kUajFP | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:47 | /errorHandler.js(30) | Wg0ddOzNjRdPhvOBawLSwrI9kz2Ha28w | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getCancelledBookings?page=1&size=10&appointmentDateStart=2021-06-21&appointmentDateEnd=2021-06-21 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-21","appointmentDateEnd":"2021-06-21","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-15 20:00:47 | /errorHandler.js(30) | UTS5hMUPADiK6MoPNFa918mVXbxlIdn5 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-23","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:47 | /errorHandler.js(30) | JWkhfmQ3gOldsNF4BkYyI4eGmNrGq7M8 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:48 | /errorHandler.js(30) | fsCISdCVlWyPPBC4vQcvNlgAauDqhkAn | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-15 20:00:48 | /errorHandler.js(30) | RgKOZ7OLUMi1EZzOC6v3abGrtsN2lbXf | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings?page=1&size=10 | GET | Request : {"page":"1","size":"10","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
